index,predicate
2617,IERC20(token).balanceOf(address(this))>=getBalanceLocked(token).add(amount)
6398,!_revoked[address(token)]
5180,_target!=0x0
369,_authorizedAddress!=recoveryAddress
1046,b>0
4480,remainingPublicSupply>=tokens
2125,_newProxyTo!=address(0x0)
9527,balanceOf[_from]>=_value
8410,_spawnRate<=0.12e18
4412,address(_alohaAlphaInstance)!=address(0)
5949,totalSupply(tokensTypes[i])+tokensNumbers[i]<=maxSupplies[tokensTypes[i]]
1166,!_exists(tokenId)
6510,sender!=address(0)
644,lockedBonds[bondID]==0
9086,a==0||c0/a==b
4748,amount0Out>0||amount1Out>0
8157,_amountIn>0
4951,bytes(symbol).length!=0
784,!wasForceClosed
3834,sender!=address(0)
6669,"_checkOnERC721Received(from,to,tokenId,_data)"
9410,rAmount<=_rTotal
1390,address(token).isContract()
5324,account!=address(0)
6150,users[msg.sender].referredUsers>=1
5920,accounts.length==ids.length
4830,deadline>=block.timestamp
5940,"from==_msgSender()||isApprovedForAll(from,_msgSender())||_isAuthorised[_msgSender()]"
2233,"keccak256(abi.encodePacked(price,salt,msg.sender,time,ancillaryData,roundId,identifier))==voteSubmission.commit"
4216,isERC20Refundable()
8203,supply.current()+_mintAmount<=maxSupply
8060,recipient!=address(0)
2561,block.number-lastKingBlock>=blockDistance
9009,to!=address(0)
5686,_to!=address(0)
7922,sender!=address(0)
3194,duration>0
8427,HEX_LAUNCH_TIME<block.timestamp
9281,flag==true
9026,!mintingFinished
9690,_isExcluded[account]
770,position.interestPeriod==INTEREST_PERIOD
941,settlementFee<total
6184,msg.sender==questionSender
6155,users[msg.sender].isExist
7963,numerator<=denominator
3758,_limitExpiresTimestamp<now
7156,b<=a
5669,_amount>0
5393,"doReserveTrade(ETH_TOKEN_ADDRESS,weiAmount,tradeInput.dest,tradeInput.destAddress,actualDestAmount,KyberReserveInterface(rateResult.reserve2),rateResult.rateEthToDest,true)"
7062,stakingFee.add(delegateFee)<=10_000
6203,b!=0
5947,tokensNumbers[i]>0
968,vs.length==rs.length
2376,"financialProductTransformedIdentifiers[msg.sender]!="""""
2524,newOwner!=address(0)
6823,!tradingOpen
1275,_isTransferable
5133,cap!=0
311,_isExcluded[account]
1535,_isController(msg.sender)
9704,address(this).balance>=value
2519,_from==msg.sender||operatorApproval[_from][msg.sender]==true
7233,_reflectionFee.add(_burnFee).add(liquidityFee).add(_developmentFee).add(_charityFee).add(newFee)<10000
562,index<currentNode.sumWeight()
8480,sender!=address(0)
2551,"Token(makerOfferToken).transferFrom(_makerWallet,_takerWallet,_toTakerAmount)"
8019,from!=address(0)
2056,isContract(target)
5230,sold!=true
